"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#EgyptAttack | ""<U+0907><U+091C><U+093F><U+092A><U+094D><U+0924><U+091A><U+0902> <U+0938><U+0948><U+0928><U+094D><U+092F> <U+0906><U+0923><U+093F> <U+092A><U+094B><U+0932><U+0940><U+0938> <U+092A><U+094D><U+0930><U+0936><U+093E><U+0938><U+0928> <U+092F><U+093E> <U+0918><U+091F><U+0928><U+0947><U+091A><U+093E> <U+092C><U+0926><U+0932><U+093E> <U+0918><U+0947><U+090A><U+0928> <U+0926><U+0947><U+0936><U+093E><U+0924> <U+0936><U+093E><U+0902><U+0924><U+0924><U+093E> <U+092A><U+094D><U+0930><U+0938><U+094D><U+0925><U+093E><U+092A><U+093F><U+0924> <U+0915><U+0930><U+0924><U+0940><U+0932>,"" <U+0905><U+0938><U+0902> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+093E><U+0927><U+094D>… https://t.co/djFsmrArIr",FALSE,0,NA,2017-11-24 22:28:38,TRUE,NA,"934270076160749568",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","bbcnewsmarathi",1,FALSE,FALSE,NA,NA
"RT @airnewsalerts: .@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:28:36,FALSE,NA,"934270065515560960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Juan_A_Llorente",11,TRUE,FALSE,NA,NA
"RT @AWAKEALERT: @SlavRight_Proud #Sinai #SinaiAttack #Sinaimosque #EgyptAttack #EgyptMosqueAttack #IslamicState #AbuKamal #Russia #OxfordSt…",FALSE,0,NA,2017-11-24 22:28:28,FALSE,NA,"934270033001250816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnigmaNetxx",5,TRUE,FALSE,NA,NA
"RT @AzeemWyne: At least 184 dead 125 injured following deadly attack on Al-Rawda Mosque in Bir El-Abed, North Sinai #Egyptattack https://t.…",FALSE,0,NA,2017-11-24 22:28:22,FALSE,NA,"934270007424544768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shahxaif",35,TRUE,FALSE,NA,NA
"#EgyptAttack victims are true martyrs, who died as victims while devoutly observing their religion. #Jihadi extremi… https://t.co/d6lyvWdNqr",FALSE,2,NA,2017-11-24 22:27:49,TRUE,NA,"934269868274102272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AKiloTango",0,FALSE,FALSE,NA,NA
"RT @omdhedhy: @cakimiNOW : PKB siap membantu pemerintah menjadi penengah &amp; pendamai di daerah konflik timteng #EgyptAttack #PKBsebarIslamDa…",FALSE,0,NA,2017-11-24 22:27:13,FALSE,NA,"934269718210293760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pkb_news",9,TRUE,FALSE,NA,NA
".@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:26:58,FALSE,NA,"934269657627758592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VoiceAllahabad",0,FALSE,FALSE,NA,NA
"<U+0917><U+094B><U+0932><U+093F><U+092F><U+093E><U+0901> <U+0915><U+0939><U+0940><U+0902> <U+092C><U+091A><U+093E><U+0924><U+0940> <U+091C><U+093C><U+093F><U+0928><U+094D><U+0926><U+0917><U+0940> <U+0924><U+094B> <U+0915><U+0939><U+0940><U+0902> <U+0932><U+0947><U+0924><U+0940> <U+091C><U+093C><U+093F><U+0928><U+094D><U+0926><U+0917><U+0940> 
<U+0915><U+094C><U+0928> <U+0932><U+094B><U+0917> <U+091C><U+094B> <U+092C><U+093E><U+0901><U+091F><U+0924><U+0947> <U+092E><U+094C><U+0924> <U+092A><U+0924><U+093E> <U+0928><U+0939><U+0940><U+0902> <U+0915><U+094D><U+092F><U+093E> <U+0909><U+0928><U+094D><U+0939><U+0947><U+0902> <U+0926><U+0947><U+0924><U+0940>
<U+091C><U+093C><U+093F><U+0928><U+094D><U+0926><U+0917><U+0940> - <U+0935><U+093F><U+0915><U+093E><U+0938> <U+092C><U+0902><U+0938><U+0932> #EgyptAttack",FALSE,3,NA,2017-11-24 22:26:19,FALSE,NA,"934269493697658880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VikasbansalEF",1,FALSE,FALSE,NA,NA
"RT @MamataOfficial: Saddened with the dastardly terrorist attack in #Sinai #EgyptAttack Strongly condemn such violence that takes innocent…",FALSE,0,NA,2017-11-24 22:26:19,FALSE,NA,"934269491801858048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KoushikNilakash",215,TRUE,FALSE,NA,NA
"RT @DarcyRoseByrnes: Sending love to all the people of #Egypt and all the people around the world affected by this #EgyptAttack . This twee…",FALSE,0,NA,2017-11-24 22:26:17,FALSE,NA,"934269482478047232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeHart32",60,TRUE,FALSE,NA,NA
"RT @airnewsalerts: .@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:25:59,FALSE,NA,"934269408779931648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gauravsingh2701",11,TRUE,FALSE,NA,NA
